곡 id,곡명,앨범명,앨범id,장르,좋아요수,발매일,가수
31470006,행복,행복,10229387,Rap / Hip-hop,46035,20181206,오반
31388213,라비앙로즈 (La Vie en Rose),COLOR*IZ,10217163,Dance,80450,20181029,IZ*ONE (아이즈원)
31266286,Trivia 轉 : Seesaw,LOVE YOURSELF 結 `Answer`,10197480,Rap / Hip-hop,115629,20180824,방탄소년단
31551385,"길 (Song by 아이유, 헨리, 조현아, 양다일)",THEN & NOW,10241365,Ballad,25786,20190110,god
31219546,flex (Prod. By 기리보이),Dingo X Indigo Music,10189965,Rap / Hip-hop,108161,20180731,"기리보이, Kid Milli, NO:EL, 스윙스"
30809895,미안해,inside,10123639,R&B / Soul,143139,20171229,양다일
8235260,비,비,2692501,R&B / Soul,184666,20160621,폴킴
30568338,에너제틱 (Energetic),1X1=1(TO BE ONE),10085951,Dance,286826,20170807,Wanna One (워너원)
31526249,습관 (Bad Habits),안녕,10237804,Electronica,19679,20190101,숀 (SHAUN)
31569905,이별을 걷다 (A Walk To Goodbye),The Four Seasons,10244259,Ballad,7026,20190121,황치열
31144690,IndiGO,IM,10178566,Rap / Hip-hop,90553,20180624,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)"
30725482,Beautiful,1-1=0 (NOTHING WITHOUT YOU),10111029,Ballad,235253,20171113,Wanna One (워너원)
30314784,밤편지,밤편지,10047890,Ballad,304901,20170324,아이유
31131273,뚜두뚜두 (DDU-DU DDU-DU),SQUARE UP,10176415,Rap / Hip-hop,203262,20180615,BLACKPINK
30960341,BOOMERANG (부메랑),0+1=1 (I PROMISE YOU),10144723,Dance,144311,20180319,Wanna One (워너원)
31302310,헤어지는 중,헤어지는 중,10203500,R&B / Soul,98912,20180912,펀치 (Punch)
31344113,시간이 들겠지 (Feat. Colde),시간이 들겠지,10210198,Rap / Hip-hop,97269,20181008,로꼬
31286161,사이렌 (Siren),WARNING,10200838,Dance,110638,20180904,선미
30669593,가을 안부,가을 안부,10102177,Ballad,126819,20171014,먼데이 키즈 (Monday Kiz)
31314142,우리 그만하자,우리 그만하자,10205438,Ballad,122336,20180918,로이킴
31175119,Dance The Night Away,Summer Nights,10183127,Dance,139151,20180709,TWICE (트와이스)
31113240,켜줘 (Light),1÷χ=1 (UNDIVIDED),10173365,Dance,133521,20180604,Wanna One (워너원)
31331745,이별길 (GOODBYE ROAD),NEW KIDS : THE FINAL,10208358,Ballad,84869,20181001,iKON
3087601,Bohemian Rhapsody (2011 Remaster),Greatest Hits (2011 Remaster),1123959,Rock,89780,20110103,Queen
30884950,그때 헤어지면 돼,그때 헤어지면 돼,10137574,Ballad,192377,20180212,로이킴
